"ID","Name","Pos","Team","Price","xPts 1","xMin 1","xPts 2","xMin 2","xPts 3","xMin 3","xPts 4","xMin 4","xPts 5","xMin 5","xPts GW1-38"
"0","Balogun","FWD","ARS","3","0.25","NaN","0.28","NaN","0.27","NaN","0.28","NaN","0.27","NaN","10.05"
"360","Lascelles","DEF","NEW","4.5","0.35","NaN","0.27","NaN","0.18","NaN","0.30","NaN","0.15","NaN","10.34"
"192","Holgate","DEF","EVE","4.5","0.26","NaN","0.27","NaN","0.36","NaN","0.29","NaN","0.29","NaN","10.88"
"21","Maitland-Niles","MID","ARS","5","0.25","NaN","0.27","NaN","0.27","NaN","0.27","NaN","0.27","NaN","9.82"
"372","Lewis","DEF","NEW","4.5","0.33","NaN","0.26","NaN","0.18","NaN","0.29","NaN","0.14","NaN","9.89"
"177","Rondon","FWD","EVE","5","0.26","NaN","0.26","NaN","0.30","NaN","0.27","NaN","0.28","NaN","10.29"
"18","Lokonga","MID","ARS","4.5","0.24","NaN","0.25","NaN","0.24","NaN","0.25","NaN","0.25","NaN","9.11"
"390","X Silva","MID","NFO","5","0.23","NaN","0.25","NaN","0.24","NaN","0.24","NaN","0.21","NaN","9.17"
"127","Azpilicueta","DEF","CHE","5","0.28","NaN","0.24","NaN","0.27","NaN","0.29","NaN","0.28","NaN","10.24"
"0","Patino","MID","ARS","3","0.23","NaN","0.24","NaN","0.24","NaN","0.24","NaN","0.24","NaN","8.86"
"17","Tavares","DEF","ARS","4.5","0.23","NaN","0.24","NaN","0.24","NaN","0.25","NaN","0.24","NaN","8.51"
"496","Plange","FWD","CRY","4.5","0.26","NaN","0.23","NaN","0.27","NaN","0.23","NaN","0.27","NaN","9.84"
"269","Soumare","MID","LEI","4.5","0.25","NaN","0.23","NaN","0.25","NaN","0.23","NaN","0.24","NaN","9.14"
"184","Gomes","MID","EVE","4.5","0.23","NaN","0.23","NaN","0.25","NaN","0.24","NaN","0.24","NaN","9.02"
"94","Baptiste","MID","BRE","4.5","0.23","NaN","0.23","NaN","0.23","NaN","0.24","NaN","0.23","NaN","8.81"
"395","Mighten","MID","NFO","5","0.22","NaN","0.23","NaN","0.23","NaN","0.22","NaN","0.21","NaN","8.60"
"63","Marcondes","MID","BOU","5","0.27","NaN","0.22","NaN","0.26","NaN","0.23","NaN","0.28","NaN","9.90"
"74","Dembele","MID","BOU","3","0.26","NaN","0.22","NaN","0.25","NaN","0.23","NaN","0.26","NaN","9.48"
"450","P Sarr","MID","TOT","4.5","0.23","NaN","0.21","NaN","0.23","NaN","0.22","NaN","0.21","NaN","8.31"
"150","Broja","FWD","CHE","5.5","0.21","NaN","0.21","NaN","0.23","NaN","0.23","NaN","0.22","NaN","8.22"
"52","K Davis","FWD","AVL","5.5","0.20","NaN","0.21","NaN","0.18","NaN","0.20","NaN","0.18","NaN","7.36"
"350","Ritchie","DEF","NEW","4.5","0.25","NaN","0.20","NaN","0.16","NaN","0.22","NaN","0.14","NaN","7.87"
"162","Butland","GK","CRY","4.5","0.23","NaN","0.19","NaN","0.25","NaN","0.18","NaN","0.27","NaN","9.02"
"0","Praet","MID","LEI","3","0.23","NaN","0.19","NaN","0.23","NaN","0.19","NaN","0.21","NaN","8.02"
"138","Kenedy","DEF","CHE","4","0.20","NaN","0.19","NaN","0.20","NaN","0.21","NaN","0.20","NaN","7.57"
"34","B Traore","MID","AVL","5","0.18","NaN","0.19","NaN","0.17","NaN","0.18","NaN","0.16","NaN","6.65"
"298","Ramsay","DEF","LIV","4","0.17","NaN","0.19","NaN","0.14","NaN","0.20","NaN","0.18","NaN","6.41"
"174","N Ferguson","DEF","CRY","4","0.24","NaN","0.18","NaN","0.27","NaN","0.17","NaN","0.28","NaN","9.37"
"363","Manquillo","DEF","NEW","4.5","0.21","NaN","0.18","NaN","0.14","NaN","0.19","NaN","0.12","NaN","6.75"
"131","Barkley","MID","CHE","5","0.18","NaN","0.18","NaN","0.19","NaN","0.19","NaN","0.19","NaN","6.89"
"51","El Ghazi","MID","AVL","5","0.18","NaN","0.18","NaN","0.17","NaN","0.18","NaN","0.16","NaN","6.57"
"286","Gomez","DEF","LIV","4.5","0.16","NaN","0.18","NaN","0.13","NaN","0.19","NaN","0.17","NaN","6.03"
"404","Stephens","DEF","SOU","4.5","0.12","NaN","0.18","NaN","0.15","NaN","0.15","NaN","0.15","NaN","5.97"
"0","Emerson P","DEF","CHE","3","0.19","NaN","0.17","NaN","0.19","NaN","0.20","NaN","0.19","NaN","7.14"
"115","Alzate","MID","BHA","4.5","0.16","NaN","0.17","NaN","0.17","NaN","0.18","NaN","0.17","NaN","6.43"
"97","Forss","FWD","BRE","4.5","0.16","NaN","0.17","NaN","0.17","NaN","0.17","NaN","0.16","NaN","6.23"
"187","Gbamin","MID","EVE","4.5","0.16","NaN","0.16","NaN","0.18","NaN","0.16","NaN","0.17","NaN","6.28"
"237","Greenwood","FWD","LEE","4.5","0.16","NaN","0.16","NaN","0.15","NaN","0.15","NaN","0.16","NaN","5.88"
"324","Ortega","GK","MCI","4","0.13","NaN","0.15","NaN","0.13","NaN","0.15","NaN","0.15","NaN","5.20"
"58","Stanislas","MID","BOU","5","0.17","NaN","0.14","NaN","0.16","NaN","0.15","NaN","0.17","NaN","6.21"
"434","Winks","MID","TOT","4.5","0.15","NaN","0.14","NaN","0.15","NaN","0.15","NaN","0.14","NaN","5.55"
"0","Hill","DEF","BOU","3","0.41","NaN","0.13","NaN","0.34","NaN","0.15","NaN","0.48","NaN","13.38"
"505","Rothwell","MID","BOU","5","0.15","NaN","0.13","NaN","0.15","NaN","0.14","NaN","0.16","NaN","5.67"
"0","Bellerin","DEF","ARS","3","0.12","NaN","0.13","NaN","0.13","NaN","0.13","NaN","0.13","NaN","4.50"
"435","D Sanchez","DEF","TOT","4.5","0.19","NaN","0.12","NaN","0.19","NaN","0.17","NaN","0.14","NaN","5.94"
"133","Kepa","GK","CHE","4.5","0.13","NaN","0.12","NaN","0.13","NaN","0.13","NaN","0.13","NaN","4.92"
"289","Kelleher","GK","LIV","4","0.10","NaN","0.11","NaN","0.09","NaN","0.12","NaN","0.11","NaN","3.94"
"384","Lolley","MID","NFO","5","0.10","NaN","0.11","NaN","0.10","NaN","0.10","NaN","0.09","NaN","3.90"
"207","Gazzaniga","GK","FUL","4","0.08","NaN","0.11","NaN","0.12","NaN","0.09","NaN","0.12","NaN","3.92"
"517","Strakosha","GK","BRE","4.5","0.10","NaN","0.10","NaN","0.11","NaN","0.12","NaN","0.11","NaN","4.08"
"278","Chamberlain","MID","LIV","5","0.10","NaN","0.10","NaN","0.09","NaN","0.11","NaN","0.10","NaN","3.67"
"364","Krafth","DEF","NEW","4.5","0.11","NaN","0.09","NaN","0.07","NaN","0.10","NaN","0.06","NaN","3.40"
