Name,ID,Team,Position,Cost,OfficialFPLSite,theFPLKiwi,FPLReview,Average
White,449,TOT,MID,4.5,1.5,0.0,0.0,0.5
Darlow,353,NEW,GK,4.0,1.5,0.0,0.0,0.5
Soumaré,269,LEI,MID,4.5,1.0,0.25,0.2,0.4833333333333333
Mighten,395,NFO,MID,5.0,1.0,0.22,0.23,0.4833333333333333
Stanislas,58,BOU,MID,5.0,1.0,0.17,0.25,0.4733333333333333
Mbe Soh,393,NFO,DEF,4.5,1.3,0.08,0.02,0.4666666666666667
Ebiowei,173,CRY,MID,4.5,0.5,0.8,0.05,0.45
Masuaku,462,WHU,DEF,4.5,0.8,0.28,0.26,0.44666666666666666
Forss,97,BRE,FWD,4.5,1.0,0.16,0.16,0.43999999999999995
Mitoma,124,BHA,MID,5.0,1.0,0.3,0.0,0.43333333333333335
Areola,473,WHU,GK,4.5,1.2,0.06,0.04,0.43333333333333335
Cavaleiro,214,FUL,MID,5.0,0.0,0.57,0.71,0.4266666666666666
Ogbonna,456,WHU,DEF,4.5,0.8,0.0,0.46,0.42
Ferguson,174,CRY,DEF,4.0,0.5,0.24,0.47,0.4033333333333333
Riedewald,164,CRY,MID,4.5,0.5,0.41,0.25,0.3866666666666666
Pearson,68,BOU,MID,4.5,0.5,0.02,0.61,0.3766666666666666
Ward,254,LEI,GK,4.0,1.0,0.08,0.04,0.37333333333333335
Vestergaard,253,LEI,DEF,4.0,1.0,0.08,0.02,0.3666666666666667
Choudhury,263,LEI,MID,4.5,1.0,0.04,0.03,0.3566666666666667
Goode,96,BRE,DEF,4.0,1.0,0.0,0.07,0.3566666666666667
Valery,414,SOU,DEF,4.0,0.5,0.06,0.49,0.35
Balcombe,100,BRE,GK,4.0,1.0,0.01,0.02,0.3433333333333333
Chiquinho,490,WOL,MID,5.0,0.0,1.03,0.0,0.3433333333333333
Brunt,273,LEI,DEF,4.0,1.0,0.0,0.01,0.33666666666666667
Alzate,115,BHA,MID,4.5,0.5,0.16,0.33,0.32999999999999996
Greenwood,237,LEE,FWD,4.5,0.5,0.16,0.29,0.31666666666666665
Tomkins,153,CRY,DEF,4.0,0.5,0.14,0.28,0.30666666666666664
Hjelde,243,LEE,DEF,4.0,0.5,0.0,0.39,0.29666666666666663
Muniz,218,FUL,FWD,5.5,0.0,0.51,0.38,0.29666666666666663
Bate,241,LEE,MID,4.5,0.5,0.35,0.01,0.2866666666666666
